Regiocode;Regionaam;Soort regio;Aantal inwoners;0015;1525;2545;4565;65+
GM0797;Heusden;Gemeente;44.692;6.926;5.089;10.032;13.377;9.268
GM0534;Hillegom;Gemeente;22.209;3.474;2.388;5.326;6.395;4.626
GM0798;Hilvarenbeek;Gemeente;15.518;2.288;1.781;3.124;4.801;3.524
GM0402;Hilversum;Gemeente;90.831;15.306;9.861;23.827;24.656;17.181
GM1963;Hoeksche Waard;Gemeente;87.401;13.627;9.906;18.431;25.829;19.608
GM1735;Hof van Twente;Gemeente;35.017;5.067;4.128;6.558;10.438;8.826
GM1911;Hollands Kroon;Gemeente;48.432;7.419;5.919;10.604;14.401;10.089
GM0118;Hoogeveen;Gemeente;55.699;9.187;6.554;12.848;15.013;12.097
GM0405;Hoorn;Gemeente;73.261;12.037;8.597;18.122;20.228;14.277
GM1507;Horst aan de Maas;Gemeente;42.429;6.006;4.972;9.156;13.043;9.252
GM0321;Houten;Gemeente;50.146;9.534;6.106;11.310;15.615;7.581
GM0406;Huizen;Gemeente;41.273;6.308;4.562;8.234;12.458;9.711
GM0677;Hulst;Gemeente;27.556;3.600;2.640;5.612;8.760;6.944
GM0353;IJsselstein;Gemeente;34.109;5.698;4.433;7.452;10.487;6.039
GM1884;Kaag en Braassem;Gemeente;27.297;4.181;3.183;5.998;8.256;5.679
GM0166;Kampen;Gemeente;54.319;10.447;7.091;13.731;13.791;9.259
GM0678;Kapelle;Gemeente;12.695;2.219;1.472;2.706;3.608;2.690
GM0537;Katwijk;Gemeente;65.753;12.074;8.099;16.301;17.402;11.877
GM0928;Kerkrade;Gemeente;45.749;5.652;4.091;9.988;14.271;11.747
GM1598;Koggenland;Gemeente;22.749;3.609;2.923;4.795;6.739;4.683
GM0542;Krimpen aan den IJssel;Gemeente;29.526;5.075;3.591;5.996;7.692;7.172
GM1931;Krimpenerwaard;Gemeente;56.319;9.367;6.988;12.229;15.808;11.927
GM1659;Laarbeek;Gemeente;22.523;3.400;2.577;4.851;6.672;5.023
GM1685;Landerd;Gemeente;15.730;2.405;1.927;3.254;4.686;3.458
GM0882;Landgraaf;Gemeente;37.445;4.673;3.609;7.913;11.759;9.491
GM0415;Landsmeer;Gemeente;11.491;1.958;1.241;2.344;3.450;2.498
GM0416;Langedijk;Gemeente;28.163;4.623;3.416;6.095;8.141;5.888
GM1621;Lansingerland;Gemeente;62.384;13.193;7.274;14.713;17.578;9.626
GM0417;Laren;Gemeente;11.282;1.741;1.078;1.692;3.248;3.523
GM0080;Leeuwarden;Gemeente;124.084;18.537;18.492;31.839;32.099;23.117
GM0546;Leiden;Gemeente;125.099;16.126;22.155;37.349;30.170;19.299
GM0547;Leiderdorp;Gemeente;27.056;4.297;3.044;5.660;7.834;6.221
GM1916;Leidschendam Voorburg;Gemeente;76.534;12.367;7.320;18.463;20.817;17.567
GM0995;Lelystad;Gemeente;78.598;14.090;9.322;20.023;21.200;13.963
GM1640;Leudal;Gemeente;35.879;4.554;4.058;7.100;11.365;8.802
GM0327;Leusden;Gemeente;30.401;5.005;3.399;6.261;9.056;6.680
GM1705;Lingewaard;Gemeente;46.601;7.426;5.384;9.585;14.069;10.137
GM0553;Lisse;Gemeente;22.955;3.512;2.553;5.006;6.654;5.230
GM0262;Lochem;Gemeente;33.729;4.703;3.462;5.615;10.455;9.494
GM0809;Loon op Zand;Gemeente;23.408;3.402;2.600;5.099;7.030;5.277
GM0331;Lopik;Gemeente;14.467;2.404;2.088;3.072;4.358;2.545
GM0024;Loppersum;Gemeente;9.537;1.410;1.022;1.888;3.060;2.157
GM0168;Losser;Gemeente;22.683;3.378;2.610;4.499;6.813;5.383
GM0263;Maasdriel;Gemeente;25.030;3.873;2.939;5.699;7.772;4.747
GM1641;Maasgouw;Gemeente;23.965;2.764;2.407;4.671;7.714;6.409
GM0556;Maassluis;Gemeente;33.213;5.256;3.582;7.891;8.826;7.658
GM0935;Maastricht;Gemeente;121.575;12.617;23.398;28.857;30.446;26.257
GM0420;Medemblik;Gemeente;45.101;7.205;5.353;9.765;13.273;9.505
GM0938;Meerssen;Gemeente;18.828;2.396;1.899;3.469;5.972;5.092
GM1948;Meierijstad;Gemeente;81.194;12.473;9.485;18.427;23.903;16.906
GM0119;Meppel;Gemeente;33.920;5.574;4.058;7.998;9.513;6.777
GM0687;Middelburg;Gemeente;48.822;7.705;5.894;11.027;13.248;10.948
GM1842;Midden Delfland;Gemeente;19.341;3.271;2.471;4.028;5.899;3.672
GM1731;Midden Drenthe;Gemeente;33.185;4.714;3.822;6.418;10.329;7.902
GM1952;Midden Groningen;Gemeente;60.797;8.909;6.768;12.762;18.802;13.556
GM0815;Mill en Sint Hubert;Gemeente;10.939;1.547;1.251;2.202;3.544;2.395
GM1709;Moerdijk;Gemeente;37.129;5.499;4.133;7.899;11.483;8.115
GM1978;Molenlanden;Gemeente;43.909;8.042;6.188;9.380;11.998;8.301
GM1955;Montferland;Gemeente;36.011;4.782;4.186;7.090;11.439;8.514
GM0335;Montfoort;Gemeente;13.917;2.424;1.827;2.961;3.976;2.729
GM0944;Mook en Middelaar;Gemeente;7.847;974;887;1.251;2.612;2.123
GM1740;Neder Betuwe;Gemeente;24.339;5.023;3.410;5.497;6.223;4.186
GM0946;Nederweert;Gemeente;17.019;2.307;1.914;3.539;5.263;3.996
GM0356;Nieuwegein;Gemeente;63.462;9.758;6.994;16.519;17.344;12.847
GM0569;Nieuwkoop;Gemeente;28.811;4.519;3.310;6.406;8.626;5.950
GM0267;Nijkerk;Gemeente;43.171;7.872;5.251;10.005;11.877;8.166
GM0268;Nijmegen;Gemeente;177.659;24.306;30.516;51.597;42.665;28.575
GM1930;Nissewaard;Gemeente;85.219;13.279;9.392;20.787;24.722;17.039
GM1970;Noardeast Fryslân;Gemeente;45.228;7.656;5.328;9.633;13.039;9.572
GM1695;Noord Beveland;Gemeente;7.392;886;668;1.396;2.362;2.080
GM1699;Noordenveld;Gemeente;31.253;4.542;3.056;5.721;9.457;8.477
GM0171;Noordoostpolder;Gemeente;47.291;8.657;5.780;11.542;12.877;8.435
GM0575;Noordwijk;Gemeente;43.508;6.346;4.956;9.807;12.819;9.580
GM0820;Nuenen Gerwen en Nederwetten;Gemeente;23.383;3.530;2.457;4.466;6.874;6.056
GM0302;Nunspeet;Gemeente;27.851;5.079;3.530;6.129;7.406;5.707
GM0579;Oegstgeest;Gemeente;24.840;4.509;2.730;5.475;7.066;5.060
GM0823;Oirschot;Gemeente;18.714;2.676;2.261;3.763;5.977;4.037
GM0824;Oisterwijk;Gemeente;26.245;3.859;2.977;5.240;7.801;6.368
GM1895;Oldambt;Gemeente;38.209;5.173;4.082;7.575;11.872;9.507
GM0269;Oldebroek;Gemeente;23.646;4.338;2.842;5.321;6.645;4.500
